location,Bed,Bath,Ft,price
Texas,4.0,2.0,1820.0,345900.0
Texas,4.0,2.5,2334.0,333000.0
Texas,2.0,2.0,1042.0,219995.0
Texas,3.0,3.0,2116.0,468000.0
Texas,3.0,2.5,2409.0,537000.0
Texas,3.0,2.5,2409.0,532000.0
Texas,3.0,2.5,2409.0,592000.0
Texas,4.0,2.0,2020.0,354900.0
Texas,4.0,2.0,1635.0,306900.0
Texas,4.0,3.0,2325.0,334900.0
Texas,4.0,2.5,2507.0,355233.0
Texas,3.0,2.0,1915.0,310314.0
Texas,4.0,2.5,2513.0,358740.0
Texas,3.0,2.5,2004.0,276995.0
Texas,4.0,2.5,2596.0,299995.0
Texas,3.0,2.5,1737.0,295000.0
Texas,4.0,3.5,2697.0,450000.0
Texas,3.0,2.5,1689.0,290000.0
Texas,3.0,2.0,1614.0,299900.0
Texas,4.0,2.0,2070.0,383702.0
Texas,3.0,2.0,1614.0,304990.0
Texas,3.0,2.0,1931.0,323990.0
Texas,4.0,2.0,2070.0,346990.0
Texas,3.0,3.0,2711.0,469990.0
Texas,4.0,2.0,1825.0,317400.0
Texas,4.0,3.5,2884.0,499990.0
Texas,4.0,2.0,2020.0,312900.0
Texas,3.0,2.5,2386.0,380000.0
Texas,4.0,3.5,3125.0,539922.0
Texas,4.0,3.0,2731.0,350000.0
Texas,3.0,2.0,2517.0,433990.0
Texas,4.0,3.5,2548.0,447990.0
Texas,4.0,3.5,2666.0,449990.0
Texas,4.0,3.5,2795.0,448990.0
Texas,3.0,2.5,2386.0,423990.0
Texas,5.0,4.5,3308.0,516990.0
Texas,4.0,3.0,2731.0,439990.0
Texas,3.0,2.5,1737.0,297000.0
Texas,4.0,2.0,1820.0,305900.0
Texas,3.0,2.0,1857.0,355000.0
Texas,3.0,2.5,2099.0,375000.0
Texas,3.0,2.5,1963.0,312000.0
Texas,3.0,2.5,1689.0,290780.0
Texas,3.0,2.5,1963.0,315000.0
Texas,3.0,2.5,2644.0,708750.0
Texas,3.0,2.5,2285.0,719250.0
Texas,3.0,2.5,2160.0,646380.0
Texas,3.0,2.5,2450.0,635000.0
Texas,4.0,3.5,2574.0,425310.0
Texas,3.0,2.0,1422.0,229000.0
Texas,3.0,1.0,1129.0,130000.0
Texas,3.0,1.0,1017.0,180500.0
Texas,4.0,2.0,2010.0,232000.0
Texas,3.0,2.5,2123.0,282000.0
Texas,4.0,2.0,1693.0,249000.0
Texas,4.0,2.5,2802.0,280000.0
Texas,4.0,2.0,2191.0,179900.0
Texas,4.0,3.0,1861.0,256500.0
Texas,4.0,3.0,2351.0,315000.0
Texas,4.0,3.5,3195.0,360000.0
Texas,3.0,3.0,2014.0,110000.0
Texas,2.0,2.5,1188.0,180000.0
Texas,3.0,2.0,1480.0,239000.0
Texas,4.0,2.0,1250.0,82500.0
Texas,1.0,1.5,644.0,249000.0
Texas,4.0,2.5,3260.0,709500.0
Texas,4.0,2.0,1281.0,199900.0
Texas,3.0,2.5,1831.0,825000.0
Texas,3.0,2.0,1443.0,500000.0
Texas,3.0,2.0,1312.0,199999.0
Texas,4.0,2.5,2166.0,283000.0
Texas,3.0,3.0,2368.0,439900.0
Texas,3.0,2.5,2344.0,899000.0
Texas,3.0,1.0,1054.0,155000.0
Texas,3.0,1.0,1236.0,480000.0
Texas,2.0,2.5,1920.0,380000.0
Texas,2.0,3.0,1064.0,599950.0
Texas,10.0,12.0,7600.0,1650000.0
Texas,6.0,4.0,3180.0,625000.0
Texas,5.0,3.5,5062.0,1199000.0
Texas,2.0,2.0,1316.0,169000.0
Texas,4.0,3.0,2229.0,405990.0
Texas,4.0,2.0,2081.0,393990.0
Texas,4.0,2.5,2109.0,370000.0
Texas,3.0,2.5,2423.0,449990.0
Texas,4.0,2.5,2513.0,390000.0
Texas,4.0,4.5,3609.0,679990.0
Texas,4.0,4.0,2867.0,609990.0
Texas,4.0,4.5,3609.0,649990.0
Texas,3.0,2.0,1651.0,340000.0
Texas,4.0,3.5,2803.0,501990.0
Texas,4.0,3.0,2614.0,487990.0
Texas,3.0,2.5,2423.0,474990.0
Texas,4.0,3.5,3053.0,514990.0
Alaska,4.0,2.5,2994.0,1300000.0
Alaska,2.0,1.0,1571.0,365000.0
Alaska,3.0,3.5,5291.0,1450000.0
Alaska,4.0,2.5,2550.0,1400000.0
Alaska,3.0,1.0,952.0,330000.0
Alaska,1.0,2.0,1060.0,355000.0
Alaska,4.0,2.0,1764.0,383900.0
Alaska,3.0,2.0,1352.0,359000.0
Alaska,2.0,2.5,2288.0,725000.0
Alaska,3.0,2.5,1370.0,385000.0
Alaska,2.0,2.0,1632.0,299000.0
Alaska,3.0,1.0,1819.0,199900.0
